month_number,price1,price1noadj,security_id,ticker
480,15.97,15.97,63156,GSCZX
480,0,0,53331,GSDAX
480,0,0,62393,GSDCX
480,0,0,53332,GSDIX
480,0,0,62391,GSDSX
480,0,0,66417,GSDTX
480,0,0,66415,GSDUX
480,52.85,52.85,61257,GSELX
480,50.79,50.79,61258,GSESX
480,0,0,73601,GSFIX
480,0,0,66416,GSFSX
480,24.2,24.2,73073,GSFTX
480,0,0,65683,GSFXX
480,0,0,68317,GSGAX
480,39.12,39.12,57337,GSGCX
480,0,0,68318,GSGDX
480,0,0,66614,GSGIX
480,0,0,66615,GSGLX
480,0,0,56844,GSGOX
480,41.08,41.08,57334,GSGRX
480,41.21,41.21,57336,GSGSX
480,0,0,73492,GSGXX
480,0,0,67365,GSHAX
480,0,0,67366,GSHCX
480,0,0,67364,GSHIX
480,0,0,67363,GSHSX
480,19.66,19.66,61657,GSICX
480,21.75,21.75,61655,GSIEX
480,21.23,21.23,61654,GSIFX
480,41.81,41.81,57335,GSIIX
480,22.21,22.21,61656,GSISX
480,0,0,77191,GSIXX
480,15.57,15.57,61840,GSLAX
480,0,0,66617,GSLCX
480,15.75,15.75,61842,GSLIX
480,21.67,21.67,63919,GSMAX
480,34.74,34.74,65401,GSMCX
480,0,0,60149,GSMEX
480,17.81,17.81,63920,GSMGX
480,0,0,60147,GSMIX
480,20.93,20.93,63922,GSMQX
480,33.44,33.44,65402,GSMSX
480,0,0,60148,GSMTX
480,0,0,60150,GSMUX
480,0,0,62777,GSMXX
480,23.63,23.63,63921,GSMYX
480,0,0,56847,GSOCX
480,0,0,56845,GSOIX
480,0,0,56846,GSOSX
480,0,0,57425,GSOXX
480,13.82,13.82,75698,GSPAX
480,14.93,14.93,77209,GSPCX
480,28.13,28.13,77210,GSPIX
480,13.79,13.79,75697,GSPKX
480,13.74,13.74,75699,GSPQX
480,23.14,23.14,77211,GSPSX
480,0,0,69396,GSPXX
480,11.47,11.47,61249,GSRAX
480,36.71,36.71,63571,GSSCX
480,0,0,62392,GSSDX
480,55.89,55.89,63572,GSSIX
480,51.12,51.12,63570,GSSMX
480,51.09,51.09,61256,GSSQX
480,49.25,49.25,63573,GSSSX
480,0,0,66418,GSTCX
480,0,0,62390,GSTGX
480,11.12,11.12,76013,GSTIX
480,9.71,9.71,76014,GSTSX
480,0,0,65276,GSTXX
480,0,0,72523,GSUAX
480,0,0,72524,GSUIX
480,0,0,72525,GSUPX
480,45.44,45.44,61259,GSUSX
480,14.69,14.69,61841,GSVCX
480,15.49,15.49,61843,GSVSX
480,34.17,34.17,68948,GSXAX
480,28.59,28.59,68950,GSXCX
480,36.46,36.46,68949,GSXIX
480,11.2,11.2,71921,GTACX
480,20.78,20.78,71920,GTAGX
480,19.73,19.73,71923,GTARX
480,23.07,23.07,71922,GTAVX
480,0,0,59282,GTAXX
480,0,0,59283,GTBXX
480,20.51,20.51,60021,GTCAX
480,19.49,19.49,60022,GTCCX
480,28.07,28.07,72762,GTCEX
480,11.23,11.23,76889,GTCGX
480,14.09,14.09,66700,GTCIX
480,11.22,11.22,60523,GTCMX
480,24.95,24.95,59723,GTCSX
480,36.36,36.36,73449,GTDCX
480,37.38,37.38,73448,GTDDX
480,37.35,37.35,73450,GTDIX
480,0,0,74018,GTFBX
480,10.97,10.97,64293,GTFHX
480,27.54,27.54,70807,GTHCX
480,41.75,41.75,70808,GTHIX
480,0,0,67571,GTICX
480,34.51,34.51,73853,GTLLX
480,28.13,28.13,69800,GTLOX
480,10.4,10.4,61704,GTMEX
480,14.91,14.91,58479,GTMIX
480,0,0,79051,GTMXX
480,14.05,14.05,61317,GTNDX
480,14.06,14.06,61320,GTNRX
480,0,0,59385,GTRAX
480,21.23,21.23,58504,GTRCX
480,37.86,37.86,55623,GTSAX
480,26.44,26.44,59724,GTSCX
480,24.16,24.16,55624,GTSDX
480,11.86,11.86,65757,GTSGX
480,34.65,34.65,55626,GTSRX
480,43.41,43.41,55625,GTSVX
480,1,1,71638,GTSXX
480,11.7,11.7,54596,GTVAX
480,12.84,12.84,72737,GUBFX
480,12.63,12.63,62709,GUBGX
480,22.6,22.6,59026,GUGAX
480,6.65,6.65,75459,GUHYX
480,9.72,9.72,64969,GUIQX
480,55.83,55.83,68896,GUSFX
480,9.98,9.98,69755,GUTEX
480,11.16,11.16,55696,GVCCX
480,80.77,80.77,61358,GVEQX
480,20.73,20.73,66937,GVEYX
480,20.73,20.73,66936,GVEZX
480,0,0,65419,GVIXX
480,28.96,28.96,72445,GVMCX
480,0,0,69989,GVPIX
480,0,0,69990,GVPSX
480,26.9,26.9,56015,GWETX
480,13.4,13.4,61029,GWLIX
480,12.69,12.69,61028,GWLRX
480,10.22,10.22,60385,GWMEX
480,23.02,23.02,76616,GWOAX
480,13.48,13.48,63298,GWSAX
480,11.44,11.44,63299,GWSCX
480,13.35,13.35,63297,GWSVX
480,13.58,13.58,75185,GXXAX
480,11.46,11.46,75186,GXXCX
480,0,0,53149,HABCX
480,11.85,11.85,76489,HABDX
480,0,0,53148,HABYX
480,79.94,79.94,57508,HACAX
480,23.43,23.43,66264,HAFCX
480,65.58,65.58,60210,HAGAX
480,51.27,51.27,60211,HAGCX
480,69.67,69.67,60212,HAGIX
480,0,0,56225,HAHAX
480,0,0,56226,HAHCX
480,0,0,56227,HAHYX
480,34.76,34.76,60316,HAIAX
480,16.68,16.68,72583,HAIGX
480,40.31,40.31,72642,HAINX
480,11.42,11.42,55932,HAMGX
480,21.62,21.62,78719,HAMVX
480,16.89,16.89,73663,HAOYX
480,63.26,63.26,60213,HAREX
480,69.47,69.47,60214,HARSX
480,0,0,55642,HARXX
480,34.69,34.69,66334,HASCX
480,13.99,13.99,58885,HASGX
480,10.31,10.31,76692,HAUSX
