month_number,mon_ret,security_id,ticker
479,0.0084864,761,TLEH
479,0.0265447,762,TLDH
479,0.0001057,763,ASET
479,0.0068115,766,SKOR
479,0.0029796,767,MBSD
479,-0.005626600000000001,768,GQRE
479,-0.0014192,769,NFRA
479,0.0163379,770,TLTD
479,0.0066765,771,IQDE
479,0.0033244,772,IQDY
479,0.0091068,773,IQDF
479,0.022731400000000002,774,QDEF
479,0.0364241,775,QDYN
479,0.0284853,776,QDF
479,0.0014719000000000002,777,RAVI
479,-0.0305218,778,MOM
479,0.0040816,779,CHEP
479,0.010803100000000001,780,SIZ
479,0.0103602,785,OEUR
479,0.021787099999999997,786,OUSA
479,-0.0001425,787,FTSD
479,0.0169723,788,FLQH
479,0.007601899999999999,790,FLQD
479,0.0197841,791,FLQG
479,0.027778700000000003,792,FLLV
479,-0.046845,793,FLLA
479,0.0067303,794,FLZA
479,0.0152543,795,FLSA
479,0.0048843,796,FLBL
479,0.0024216999999999997,797,FLCO
479,-0.0007875,799,FLHY
479,0.028496499999999998,800,FLJH
479,0.026308099999999997,801,FLEH
479,0.0144257,802,FLEE
479,0.0078691,803,FLAX
479,0.0159719,804,FLGB
479,0.0200034,805,FLTW
479,0.010474700000000002,806,FLSW
479,0.03472480000000001,807,FLIO
479,-0.0026557,808,FLKR
479,0.0048106,809,FLRU
479,-0.020333700000000003,810,FLMX
479,0.0140557,811,FLJP
479,0.0108667,812,FLIY
479,-0.0037303000000000006,813,FLIN
479,-0.0093115,814,FLHK
479,0.014888299999999998,815,FLGR
479,0.0172453,816,FLFR
479,0.028221499999999997,817,FLQL
479,0.0264995,818,FLCH
479,0.029547900000000005,819,FLCA
479,-0.045687599999999995,820,FLBR
479,0.014157399999999999,821,FLAU
479,0.0010474,822,FLMB
479,-0.0059989,823,FLMI
479,0.0188333,824,FLQS
479,0.017238299999999998,826,SPEU
479,0.0140416,827,FEZ
479,0.0207008,828,GCE
479,0.0871195,829,FRLG
479,0.0079185,830,GXF
479,0.009937399999999999,831,SDEM
479,0.0041544,832,SRET
479,0.009334499999999999,835,PGAL
479,-0.012450200000000002,837,EMFM
479,-0.0314251,838,MLPX
479,0.0056974,843,CHIQ
479,0.044996499999999995,844,SOCL
479,0.08419410000000001,845,NGE
479,-0.051850099999999996,846,MLPA
479,-0.0297135,847,SOIL
479,-0.0180876,848,CHIE
479,0.0030034000000000003,849,SDIV
479,-0.0108557,850,CHIX
479,-0.006606,851,ASEA
479,0.167939,852,PAK
479,0.08135269999999999,853,ARGT
479,0.0063468000000000005,854,CHII
479,-0.0407402,855,GOEX
479,-0.0046003,857,URA
479,0.033608099999999995,859,CHIC
479,-0.0220613,860,SIL
479,0.0371853,861,COPX
479,0.05340319999999999,862,CHIM
479,0.0136942,864,SCID
479,0.0131696,865,SCIX
479,0.18490810000000002,866,GNOM
479,0.0754715,867,CLOU
479,0.019133400000000002,868,RYLD
479,0.0214445,869,EBIZ
479,0.013705000000000002,870,SCIJ
479,-0.0479426,871,CHIU
479,0.028456799999999997,872,CHIR
479,0.022367500000000002,873,CHIK
479,-0.033304900000000005,874,CHIH
479,0.0025958,875,CHIS
479,0.013287299999999998,876,CHIL
479,0.0270673,877,AUSF
479,-0.000266,878,TFIV
479,0.0012345000000000001,879,TFLT
479,0.0382097,880,DRIV
479,0.060791399999999995,881,AIQ
479,-0.005437399999999999,882,PFFD
479,0.0500599,883,PAVE
479,0.065263,884,BOSS
479,-0.012155899999999999,885,EFAS
479,-0.0031373,886,YLCO
479,0.0317465,887,BOTZ
479,0.0361295,888,KRMA
479,0.054197699999999994,889,LNGR
479,0.0673892,890,SNSR
479,0.0338232,891,BFIT
479,0.0675495,893,FINX
479,0.0403065,894,CATH
479,-0.006137,896,GEM
479,0.0018547000000000001,897,GSST
479,0.0299573,898,GBUY
479,0.0413705,899,GMAN
479,0.0021750999999999997,904,GTIP
479,0.0398293,905,JUST
479,0.013510900000000001,906,GSJY
479,0.040565,907,GSEW
479,0.0061865,908,GHYB
479,0.0032792000000000003,909,GIGB
479,0.035989,910,GSLC
479,0.0009004,911,GBIL
479,0.059205999999999995,912,GVIP
479,0.0362224,913,GSSC
479,0.0021724,914,GSC
479,0.028641800000000002,916,COMG
479,-0.0312689,917,BAR
479,-0.040286800000000005,918,PLTM
479,0.0006833,920,HTRB
479,0.0021575,921,HTAB
479,0.0016752,922,HMOP
479,0.0027934,923,HSRT
479,0.13968029999999998,925,HZOZF
479,-0.14205009999999998,927,HBTPF
479,-0.1399491,928,HNUZF
479,-0.229487,929,HBNNF
479,-0.0750134,930,HZRZF
479,-0.10438230000000001,931,HZNSF
479,0.015637,934,HRZSF
479,0.0213359,935,HEPZF
479,0.010942299999999999,936,HZTVF
479,-0.1244614,937,HMLSF
479,-0.0770645,938,HZEMF
479,0.028511400000000003,939,HUSE
479,0.0110733,940,HECO
479,0.042795,941,WOMN
479,0.0384589,942,NACP
479,0.0224169,943,SDGA
479,0.0048839,944,QAI
479,0.0039605,945,MCRO
